FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,PetCare,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Growth Capex over NOPAT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,2016.0,2017.0,2018.0,,,,,,,,,,,,,,,,
,1,Depreciation charges,3132.0,3227.0,3924.0,,,,,,,,,,,,,,,,
,2,Capex,4080.0,3934.0,3869.0,,,,,,,,,,,,,,,,
,3,Intangible asset acquisition,682.0,769.0,601.0,,,,,,,,,,,,,,,,
,4,Acquisition of businesses,585.0,696.0,9512.0,,,,,,,,,,,,,,,,
,5,Disposals,271.0,140.0,4310.0,,,,,,,,,,,,,,,,
,6=2+3+4-5,Net capex,5.076,5259.0,9672.0,,,,,,,,,,,,,,,,
,7=6-1,Growth capex,1944.0,2032.0,5748.0,,,,,,,,,,,,,,,,
,8,NOPAT,13693.0,13233.0,13789.0,,,,,,,,,,,,,,,,
,9=7/8 × 100,Growth capex/ nopat (%),14.197034981377346,15.35555051764528,41.68540140691856,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Shares of invested capital,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,TOTAL INVESTED CAPITAL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,,,
,P & LB,5393,5445.0,5526.0,5898.0,6574.0,6437.0,6809.0,6472.0,6188.0,6475.0,10969.0,14523.0,12764.0,12723.0,13393.0,13619.0,12678.0,,,
,Water,6541,6312.0,5583.0,4893.0,4700.0,4462.0,4164.0,3909.0,3904.0,4092.0,4660.0,4806.0,4522.0,2901.0,2548.0,2519.0,2440.0,,,
,MP & IC,10006,9914.0,9867.0,10040.0,11388.0,11032.0,10139.0,8764.0,7644.0,6564.0,6471.0,6113.0,3692.0,3430.0,3884.0,4098.0,4223.0,,,
,N & HS,12754,12926.0,13730.0,13878.0,16257.0,24861.0,28377.0,34735.0,34818.0,34264.0,32494.0,29405.0,23954.0,29157.0,31981.0,29959.0,28753.0,,,
,PD & CA,7545,7260.0,10094.0,10219.0,10726.0,10528.0,10258.0,9446.0,8879.0,8695.0,8859.0,8603.0,8263.0,8990.0,9201.0,8780.0,8338.0,,,
,Confect. ,3755,3863.0,3931.0,4448.0,5969.0,5579.0,5299.0,5000.0,4689.0,4775.0,4072.0,3935.0,3313.0,3293.0,3188.0,3165.0,3798.0,,,
,PetCare,13380,13329.0,13001.0,12055.0,12358.0,12245.0,12341.0,13114.0,13640.0,14035.0,14521.0,14446.0,14484.0,15404.0,17113.0,17989.0,18923.0,,,
,TOTAL,59374,59049.0,61732.0,61431.0,67972.0,75144.0,77387.0,81440.0,79762.0,78900.0,82046.0,81831.0,70992.0,75898.0,81308.0,80129.0,79153.0,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,SHARES,,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,,,
,P & LB,9.083100346953211,9.221155311690291,8.95159722672196,9.60101577379499,9.671629494497735,8.566219525178324,8.798635429723339,7.946954813359529,7.7580802888593565,8.206590621039291,13.369329400580163,17.747552883381605,17.979490646833447,16.763287570159953,16.471933881044915,16.99634339627351,16.017080843429813,,,
,Water,11.016606595479503,10.689427424681197,9.043931834380873,7.96503394051863,6.914611899017242,5.937932502927712,5.380748704562782,4.799852652259332,4.894561319926782,5.186311787072243,5.679740633303268,5.873079884151483,6.369731800766283,3.822235105009355,3.1337629753529788,3.1436808146863187,3.0826374237236744,,,
,MP & IC,16.85249435779971,16.789446053277786,15.983606557377051,16.343539906561833,16.753957511916674,14.68114553390823,13.101683745331904,10.761296660117878,9.583510945061558,8.319391634980988,7.887038978134217,7.470274101501875,5.200585981519044,4.519223167935913,4.776897722241354,5.114253266607595,5.33523681982995,,,
,N & HS,21.480782834237207,21.89029450117699,22.24130110801529,22.591199882795333,23.91720120049432,33.08447780261897,36.66894956517244,42.65103143418468,43.65236578821995,43.42712294043093,39.60461204690052,35.933814813457005,33.74183006535948,38.41603204300509,39.33315294927928,37.388461106465826,36.32584993619951,,,
